CMDLINE C:\Users\Sam\.virtualenvs\xetra_Fezi-0778ZtFD\Scripts\python.exe run.py configs/xetra_reportt1_config.yaml
MEM 2.140625 1751501784.5301
MEM 4.074219 1751501784.6313
MEM 4.074219 1751501784.7317
MEM 4.074219 1751501784.8319
MEM 4.074219 1751501784.9324
MEM 4.074219 1751501785.0329
MEM 4.074219 1751501785.1332
MEM 4.074219 1751501785.2334
MEM 4.074219 1751501785.3338
MEM 4.074219 1751501785.4342
MEM 4.074219 1751501785.5345
MEM 4.074219 1751501785.6350
MEM 4.074219 1751501785.7356
MEM 4.074219 1751501785.8359
MEM 4.074219 1751501785.9363
MEM 4.074219 1751501786.0369
