CMDLINE C:\Users\Sam\.virtualenvs\xetra_Fezi-0778ZtFD\Scripts\python.exe run.py C:\Users\Sam\OneDrive\Desktop\xetra_project\xetra_Fezi\configs\xetra_reportt1.config.yaml
MEM 2.179688 1751615748.3663
MEM 4.074219 1751615748.4670
MEM 4.074219 1751615748.5671
MEM 4.074219 1751615748.6675
MEM 4.074219 1751615748.7677
MEM 4.074219 1751615748.8679
MEM 4.074219 1751615748.9684
MEM 4.074219 1751615749.0686
MEM 4.074219 1751615749.1688
MEM 4.074219 1751615749.2692
MEM 4.074219 1751615749.3694
MEM 4.074219 1751615749.4697
MEM 4.074219 1751615749.5700
MEM 4.074219 1751615749.6705
MEM 4.074219 1751615749.7710
MEM 4.074219 1751615749.8714
MEM 4.074219 1751615749.9718
MEM 4.074219 1751615750.0723
MEM 4.074219 1751615750.1725
MEM 4.074219 1751615750.2730
MEM 4.074219 1751615750.3732
MEM 4.074219 1751615750.4734
MEM 4.074219 1751615750.5737
MEM 4.074219 1751615750.6740
MEM 4.074219 1751615750.7743
MEM 4.074219 1751615750.8745
MEM 4.074219 1751615750.9749
